product_name,sku,defect_reason,batch_code,expiry_date,quantity_pcs,rsp_per_unit,months_until_exp,cogs_per_unit
Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,,BLZ,2027-11-15,2,149000,17.86666667,29490
Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,,CLZ,2027-11-15,6,149000,17.86666667,29490
Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,,DLZ,2027-11-15,5,149000,17.86666667,29490
Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,,BMA,2028-12-10,1,149000,30.9,29490
Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,,CHZ,2027-08-30,5,149000,15.3,29490
Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,,DJZ,2027-09-20,2,149000,16,29490
Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,,EJZ,2027-09-20,8,149000,16,29490
Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,,ALA,2028-11-19,3,149000,30.2,29490
Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,,BGA,2028-07-31,1,159000,26.5,29169
Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,,DJA,2028-09-03,2,159000,27.63333333,29169
Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,,EJA,2028-09-03,5,159000,27.63333333,29169
Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,,BLA,2028-11-28,1,159000,30.5,29169
Java Black Tea Soothing Cleanser (50 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-50ML-V2,,BGA,2028-07-31,7,99000,26.5,20862
Java Black Tea Soothing Cleanser (50 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-50ML-V2,,CHA,2028-08-29,3,99000,27.46666667,20862
Blurring Lip Precision Brush,MER-BLURRINGPOT-LIPBRUSH,,-,,7,99000,,22519
Blurring Silicone Brush,MER-BLURRINGPOT-LIPGEL,,-,,17,59000,,10321
Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,,BFA,2028-06-20,1,115000,25.13333333,27825
Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,,CHA,2028-08-21,2,115000,27.2,27825
Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,,BHA,2028-08-28,3,115000,27.43333333,27825
Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,,FKA,2028-10-30,1,115000,29.53333333,27825
Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,,BFA,2028-06-20,3,195000,25.13333333,37247
Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,,DHA,2028-08-28,8,195000,27.43333333,37247
Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,,EKA,2028-10-28,4,195000,29.46666667,37247
Papua Red Fruit Plumping Cream (15 ml) - V2,FCR-PRF-PLUMPINGCREAM-15ML-V2,,DJA,2028-09-04,3,179000,27.66666667,36754
Papua Red Fruit Plumping Cream (30 ml) - V2,FCR-PRF-PLUMPINGCREAM-30ML-V2,,CHA,2028-08-04,2,279000,26.63333333,56699
Papua Red Fruit Plumping Cream (30 ml) - V2,FCR-PRF-PLUMPINGCREAM-30ML-V2,,DJA,2028-09-04,17,279000,27.66666667,56699
Papua Red Fruit Plumping Oil (20 ml),FOI-PRF-PLUMPINGOIL-20ML,,ALA,2028-11-24,1,315000,30.36666667,44953
Papua Red Fruit Plumping Serum (20 ml),FSE-PRF-PLUMPINGSERUM-20ML,,AHA,2028-08-14,4,299000,26.96666667,41458
Sugarcane AHA Exfoliating Solution (50 ml),FTO-SGC-AHASOLUTION-50ML,,CGZ,2027-07-29,15,110000,14.23333333,27083
White Tea Protective Sun Serum (35 ml),FSU-WHT-PROTECTIVESUNSERUM-35ML,,AJZ,2027-09-30,2,179000,16.33333333,38953
White Tea Protective Sun Serum (35 ml),FSU-WHT-PROTECTIVESUNSERUM-35ML,,AGA,2028-07-09,34,179000,25.76666667,38953
