product_name,sku,image_url,rsp,cogs,product_category,barcode
Java Black Tea Soothing Cleanser (50 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-50ML-V2,https://drive.google.com/file/d/1lg17iZ9M3ozjzDC4iM4jz9wtsx6E9oQk/view?usp=drive_link,99000,20862,Java Black Tea,8994455180269
Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,https://drive.google.com/file/d/1kF4kf3DjFaOLSXhpCbeJIVSDEbISi4Kd/view?usp=drive_link,149000,29490,Butter Balm,8994455180184
Illipe Plumping Lip Butter - Cinnamon Toast (10 gr),LPB-ILP-LIPBUTTER-CINNAMONTOAST,https://drive.google.com/file/d/1QlATMw9jRfpIhPgLHSh3MZ3HpYHcUxKw/view?usp=drive_link,149000,29490,Butter Balm,8994455180252
Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,https://drive.google.com/file/d/1j_lA1LCpDFstFkfNz_wZ-8vHkO7cClnd/view?usp=drive_link,149000,29490,Butter Balm,8994455180108
Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,https://drive.google.com/file/d/1mPmy2JnOJ6kZSlSkBDnqTSVlrx9iam6x/view?usp=drive_link,149000,29490,Butter Balm,8994455180177
Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,https://drive.google.com/file/d/1PQwSCA1Urj-AaKEXOwkEtV6L0Szgxkot/view?usp=drive_link,149000,29490,Butter Balm,8994455180115
Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,https://drive.google.com/file/d/11xRV-pfqlGppLfRs9S6qrurgIlnGhb7e/view?usp=drive_link,149000,29490,Butter Balm,8994455180122
Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,https://drive.google.com/file/d/1Q5zerWcd8UwagvAvqOGR7oZ6aDntfD-8/view?usp=drive_link,149000,29490,Butter Balm,8994455180191
Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,https://drive.google.com/file/d/1g1SnIagGgkTUzoOC_po9me_Sqy0wkn6f/view?usp=drive_link,149000,29490,Butter Balm,8994455180139
Illipe Plumping Lip Butter - Woody Rose (10 gr),LPB-ILP-LIPBUTTER-WOODYROSE,https://drive.google.com/file/d/1faYnIkGhYL_DfHEs3Eaw1U5vUyH8ycfE/view?usp=drive_link,149000,29490,Butter Balm,8994455180283
Illipe Blurring Butter Pot - Berry Surreal (10 gr),LPP-ILP-BLURRINGPOT-BERRYSURREAL,https://drive.google.com/file/d/1WqV56rDd6-_zs9F7UvYnpwBJBQpfViK6/view?usp=drive_link,149000,31007,Butter Pot,8994455180375
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,https://drive.google.com/file/d/1oexFVEiHo6kCwfyHtcp4c5OSO3ibAyQW/view?usp=drive_link,149000,31007,Butter Pot,8994455180399
Illipe Blurring Butter Pot - Nude Canvas (10 gr),LPP-ILP-BLURRINGPOT-NUDECANVAS,https://drive.google.com/file/d/1WnCMeEeSy9iP-cNASYsQ7j_tY9Y4NZSK/view?usp=drive_link,149000,31007,Butter Pot,8994455180368
Illipe Blurring Butter Pot - Peach Portrait (10 gr),LPP-ILP-BLURRINGPOT-PEACHPORTRAIT,https://drive.google.com/file/d/1h9DEZ1a_NbVQkQAJMsP2AuaXTYBJs_AR/view?usp=drive_link,149000,31007,Butter Pot,8994455180382
Illipe Blurring Butter Pot - Ruby Renaissance (10 gr),LPP-ILP-BLURRINGPOT-RUBYRENAISSANCE,https://drive.google.com/file/d/1gufJs3dzdRYAMF0eD82UrqDBopwPSKUS/view?usp=drive_link,149000,31007,Butter Pot,8994455180405
Blurring Lip Precision Brush,MER-BLURRINGPOT-LIPBRUSH,https://drive.google.com/file/d/1J5EG3ItqgK2cf4a-jZhyK4C-A8MEoOfK/view?usp=drive_link,99000,22519,Tools,8994455180344
Blurring Silicone Brush,MER-BLURRINGPOT-LIPGEL,https://drive.google.com/file/d/1i2m5hxNsouIFKz5aQW-Cge6ilH3u63Sa/view?usp=drive_link,59000,10321,Tools,8994455180351
