timestamp_utc,direction,logged_by,product_name,sku,batch_code,expiry_date,quantity_pcs,defect_reason,disposition,notes,rsp_per_unit,cogs_per_unit,movement_id,inventory_sheet_name,defect_breakdown,defect_breakdown
,inbound,Jess,Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,EJZ,2027-09-20,8,,,,149000,29490,3d560d0f-b85c-461f-b4bc-a49187523b34,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,ALA,2028-11-19,3,,,,149000,29490,7265276b-5d1d-455a-ab51-847d7ab406f0,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,BGA,2028-07-31,1,,,,159000,29169,14601423-ab13-473e-bdea-dcf9edf061fc,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,DJA,2028-09-03,2,,,,159000,29169,d76ff519-f7a7-404d-9b7a-8d92da14d5b1,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,EJA,2028-09-03,5,,,,159000,29169,63973bbc-1791-4fe2-aa84-65d34c22a000,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,BLA,2028-11-28,1,,,,159000,29169,600072e1-2ff0-4620-8b8c-aec5f986b93b,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (50 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-50ML-V2,BGA,2028-07-31,7,,,,99000,20862,82390bcc-1d81-4aa1-b95b-eb50fc542396,,,
,inbound,Jess,Java Black Tea Soothing Cleanser (50 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-50ML-V2,CHA,2028-08-29,3,,,,99000,20862,bee426c1-2d01-4e1f-9f2b-2d4b2ea16f4b,,,
,inbound,Jess,Blurring Lip Precision Brush,MER-BLURRINGPOT-LIPBRUSH,-,,7,,,,99000,22519,9e6b005e-f15f-4385-8e67-e8ee8061400a,,,
,inbound,Jess,Blurring Silicone Brush,MER-BLURRINGPOT-LIPGEL,-,,17,,,,59000,10321,8b66d38d-adc3-40e5-b598-0b464f445b56,,,
,inbound,Jess,Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,BFA,,1,,,,115000,27825,9d8e48de-dfed-4f1f-9a44-4833ef720448,,,
,inbound,Jess,Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,CHA,,2,,,,115000,27825,5490e09a-c051-470d-8776-c25abe2422bd,,,
,inbound,Jess,Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,BHA,,3,,,,115000,27825,3eaeebad-4734-45ef-bc0f-da3e5b783596,,,
,inbound,Jess,Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,FKA,,1,,,,115000,27825,5a6a0359-19d0-46a5-9a54-014e1b58c49c,,,
,inbound,Jess,Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,BFA,,3,,,,195000,37247,84888fb1-31a2-4f80-81de-bf82b6e9846e,,,
,inbound,Jess,Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,DHA,,8,,,,195000,37247,8fb6588f-eb31-4e11-a5fe-33d01f9fb39c,,,
,inbound,Jess,Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,EKA,,4,,,,195000,37247,4be76dcb-7121-4e8d-9828-66122395d650,,,
,inbound,Jess,Papua Red Fruit Plumping Cream (15 ml) - V2,FCR-PRF-PLUMPINGCREAM-15ML-V2,DJA,,3,,,,179000,36754,eff3e935-1be6-42bd-8b68-2eb45d2c20cd,,,
,inbound,Jess,Papua Red Fruit Plumping Cream (30 ml) - V2,FCR-PRF-PLUMPINGCREAM-30ML-V2,CHA,,2,,,,279000,56699,5798b91f-a215-4e64-b35c-19d68f756e6b,,,
,inbound,Jess,Papua Red Fruit Plumping Cream (30 ml) - V2,FCR-PRF-PLUMPINGCREAM-30ML-V2,DJA,,17,,,,279000,56699,4f7fdff1-5605-440c-9421-89fbe0f3508d,,,
,inbound,Jess,Papua Red Fruit Plumping Oil (20 ml),FOI-PRF-PLUMPINGOIL-20ML,ALA,,1,,,,315000,44953,de24a920-02b0-4820-b1bb-6ec2348f2777,,,
,inbound,Jess,Papua Red Fruit Plumping Serum (20 ml),FSE-PRF-PLUMPINGSERUM-20ML,AHA,,4,,,,299000,41458,9e21cad4-f00a-4bf0-a87e-99aa60d55c64,,,
,inbound,Jess,Sugarcane AHA Exfoliating Solution (50 ml),FTO-SGC-AHASOLUTION-50ML,CGZ,,15,,,,110000,27083,12f0f187-2897-4b6a-8e56-2dd73b2574f1,,,
,inbound,Jess,White Tea Protective Sun Serum (35 ml),FSU-WHT-PROTECTIVESUNSERUM-35ML,AJZ,,2,,,,179000,38953,c3916ab8-4cd8-426f-b334-842e812633f2,,,
,inbound,Jess,White Tea Protective Sun Serum (35 ml),FSU-WHT-PROTECTIVESUNSERUM-35ML,AGA,,34,,,,179000,38953,5ea6018a-01d6-462a-b14c-8551956b5378,,,
